时间	开盘	最高	最低	收盘	涨幅	振幅	总手	金额	换手%	成交次数
"2011-01-31,一"	3035	3091.8	3031	3079.8	1.12%	2.00%	"152,443"	"140,363,800,000"	--	0
"2011-02-01,二"	3088.8	3098	3070.2	3085.4	0.18%	0.90%	"104,520"	"96,695,728,000"	--	0
"2011-02-09,三"	3077.6	3095	3033	3038.4	-1.52%	2.01%	"155,572"	"143,142,450,000"	--	0
"2011-02-10,四"	3040	3118.8	3031	3104.6	2.18%	2.89%	"177,171"	"163,102,650,000"	--	0
"2011-02-11,五"	3109.8	3131	3097.2	3117.2	0.41%	1.09%	"164,256"	"153,456,850,000"	--	0
"2011-02-14,一"	3122	3242.8	3115.2	3228.6	3.57%	4.09%	"154,535"	"147,807,700,000"	--	0
"2011-02-15,二"	3231.2	3251.6	3207	3216	-0.39%	1.38%	"54,138"	"52,535,155,000"	--	0
"2011-02-16,三"	3214.4	3245	3198.2	3245	0.90%	1.46%	"22,846"	"22,080,154,000"	--	0
"2011-02-17,四"	3252	3262.2	3210	3242.2	-0.09%	1.61%	"13,679"	"13,285,980,000"	--	0
"2011-02-18,五"	3238	3247.6	3204.4	3214.4	-0.86%	1.33%	"7,799"	"7,539,918,900"	--	0
"2011-02-21,一"	3223	3288.6	3212.2	3284.2	2.17%	2.38%	"207,321"	"202,209,260,000"	--	0
"2011-02-22,二"	3288	3294.4	3175	3179.4	-3.19%	3.64%	"244,202"	"235,771,820,000"	--	0
"2011-02-23,三"	3174	3199.2	3165	3175.2	-0.13%	1.08%	"177,419"	"169,572,660,000"	--	0
"2011-02-24,四"	3175	3209	3167.2	3193.2	0.57%	1.32%	"208,424"	"199,350,020,000"	--	0
"2011-02-25,五"	3202	3236	3175	3214.6	0.67%	1.91%	"219,730"	"211,329,580,000"	--	0
"2011-02-28,一"	3214	3260.6	3185.2	3255.2	1.26%	2.35%	"208,090"	"201,442,990,000"	--	0
"2011-03-01,二"	3260.4	3282	3245	3254.4	-0.02%	1.14%	"176,603"	"172,773,070,000"	--	0
"2011-03-02,三"	3242	3262.8	3213.2	3245.4	-0.28%	1.52%	"202,275"	"196,396,380,000"	--	0
"2011-03-03,四"	3249.8	3284	3221.2	3223.6	-0.67%	1.94%	"229,396"	"224,080,830,000"	--	0
"2011-03-04,五"	3231.8	3292.8	3228.2	3288.6	2.02%	2.00%	"188,349"	"183,864,810,000"	--	0
"2011-03-07,一"	3290	3353.2	3287.8	3342.2	1.63%	1.99%	"199,756"	"199,446,260,000"	--	0
"2011-03-08,二"	3337.8	3365	3318	3363.4	0.63%	1.41%	"152,733"	"152,967,490,000"	--	0
"2011-03-09,三"	3369	3372	3336	3345.4	-0.54%	1.07%	"180,272"	"181,346,620,000"	--	0
"2011-03-10,四"	3339	3340.8	3282.2	3290	-1.66%	1.75%	"182,138"	"180,930,960,000"	--	0
"2011-03-11,五"	3284.2	3304.8	3235.4	3250.2	-1.21%	2.11%	"172,330"	"169,667,510,000"	--	0
"2011-03-14,一"	3258.4	3274.4	3235.4	3258.4	0.25%	1.20%	"159,236"	"155,612,790,000"	--	0
"2011-03-15,二"	3251.2	3255.6	3137.4	3199.6	-1.80%	3.63%	"217,685"	"208,212,520,000"	--	0
"2011-03-16,三"	3217.6	3249.6	3205.2	3242.8	1.35%	1.39%	"80,032"	"77,425,553,000"	--	0
"2011-03-17,四"	3226	3238	3184.2	3207.6	-1.09%	1.66%	"34,677"	"33,455,503,000"	--	0
"2011-03-18,五"	3221.2	3241.8	3206.2	3218.8	0.35%	1.11%	"12,606"	"12,189,036,800"	--	0
"2011-03-21,一"	3231	3288	3202	3230	0.35%	2.67%	"185,625"	"179,766,950,000"	--	0
"2011-03-22,二"	3241.2	3247.6	3181.2	3231.6	0.05%	2.06%	"211,735"	"204,710,300,000"	--	0
"2011-03-23,三"	3231	3284.6	3221	3269.2	1.16%	1.97%	"186,721"	"182,543,360,000"	--	0
"2011-03-24,四"	3275	3279	3260.6	3267	-0.07%	0.56%	"127,958"	"125,544,388,000"	--	0
"2011-03-25,五"	3271.6	3324.4	3269	3298.4	0.96%	1.70%	"171,197"	"169,440,270,000"	--	0
"2011-03-28,一"	3308.6	3337	3295	3296.6	-0.05%	1.27%	"172,326"	"171,520,040,000"	--	0
"2011-03-29,二"	3291.6	3322	3262.8	3273.8	-0.69%	1.80%	"193,055"	"190,758,310,000"	--	0
"2011-03-30,三"	3279.8	3284.6	3248	3263.6	-0.31%	1.12%	"182,887"	"179,443,970,000"	--	0
"2011-03-31,四"	3265.6	3273.8	3221	3244	-0.60%	1.62%	"181,792"	"177,077,060,000"	--	0
"2011-04-01,五"	3243.6	3280.6	3232.8	3276.4	1.00%	1.47%	"156,137"	"152,255,670,000"	--	0
"2011-04-06,三"	3275.8	3320.8	3265.2	3308	0.96%	1.70%	"178,965"	"177,120,350,000"	--	0
"2011-04-07,四"	3312.2	3327.8	3303.2	3323.8	0.48%	0.74%	"128,424"	"127,743,421,000"	--	0
"2011-04-08,五"	3325.6	3366.4	3316.6	3366	1.27%	1.50%	"159,841"	"160,320,480,000"	--	0
